id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,latitude,longitude,cluster
13428424,JH224179,4/13/2024 22:00,015XX W HUBBARD ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1215,12,27,24,14,2024,4/21/2024 15:40,41.88990197,-87.66589165,2
13430708,JH225917,4/13/2024 22:00,003XX S HOMAN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1134,11,28,27,14,2024,4/21/2024 15:40,41.87665557,-87.71085966,1
13431031,JH227476,4/13/2024 21:58,079XX S JEFFERY BLVD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,TRUE,414,4,8,46,26,2024,4/21/2024 15:40,41.75078052,-87.57596268,1
13429175,JH224124,4/13/2024 21:57,030XX W JACKSON BLVD,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1124,11,28,27,08A,2024,4/21/2024 15:40,41.8773531,-87.70289948,1
13428464,JH224120,4/13/2024 21:56,105XX S EDBROOKE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,FALSE,FALSE,512,5,9,49,04B,2024,4/21/2024 15:40,41.70268355,-87.61967271,2
13428352,JH224125,4/13/2024 21:56,015XX N LECLAIRE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2533,25,37,25,08B,2024,4/21/2024 15:40,41.90842917,-87.75346379,1
28071,JH224096,4/13/2024 21:47,052XX S DAMEN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,FALSE,FALSE,932,9,16,61,01A,2024,4/21/2024 15:40,41.79871556,-87.67443764,2
13429068,JH225106,4/13/2024 21:45,023XX N LINCOLN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1812,18,43,7,6,2024,4/21/2024 15:40,41.92490629,-87.64800248,2
13428489,JH224146,4/13/2024 21:45,001XX N LEAMINGTON AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,TRUE,1532,15,28,25,14,2024,4/21/2024 15:40,41.88382137,-87.75397279,1
13428380,JH224170,4/13/2024 21:44,021XX W CERMAK RD,502R,OTHER OFFENSE,VEHICLE TITLE / REGISTRATION OFFENSE,STREET,FALSE,FALSE,1234,12,25,31,26,2024,4/21/2024 15:40,41.85212816,-87.67890364,2
13431788,JH228352,4/13/2024 21:40,0000X W DIVISION ST,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BAR OR TAVERN,TRUE,FALSE,1824,18,2,8,22,2024,4/21/2024 15:40,41.90393158,-87.62930855,1
13429246,JH224135,4/13/2024 21:39,033XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,211,2,3,35,08B,2024,4/21/2024 15:40,41.83396269,-87.62060502,1
13428372,JH224115,4/13/2024 21:33,086XX S EMERALD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,ALLEY,TRUE,FALSE,622,6,21,71,15,2024,4/21/2024 15:40,41.73708545,-87.64242968,2
13428765,JH224656,4/13/2024 21:30,024XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,132,1,3,33,6,2024,4/21/2024 15:40,41.84889146,-87.6237059,2
13428709,JH224583,4/13/2024 21:30,015XX S KOSTNER AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1012,10,24,29,08B,2024,4/21/2024 15:40,41.85998786,-87.73477234,1
13428408,JH224190,4/13/2024 21:30,032XX S PRAIRIE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,211,2,3,35,08B,2024,4/21/2024 15:40,41.83574122,-87.620644,1
13429359,JH224131,4/13/2024 21:30,012XX W 76TH ST,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,612,6,17,71,08B,2024,4/21/2024 15:40,41.75605905,-87.65477154,0
13429797,JH225924,4/13/2024 21:30,012XX W ROSEMONT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2433,24,48,77,14,2024,4/21/2024 15:40,41.9963696,-87.66124134,2
13428319,JH224105,4/13/2024 21:27,043XX S STATE ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,GAS STATION,FALSE,FALSE,215,2,3,38,15,2024,4/21/2024 15:40,41.81603914,-87.62625873,2
